,make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity
0,gmc,envoy_xl,2005,regular_unleaded,275.0,6.0,automatic,rear_wheel_drive,4.0,,large,4dr_suv,18,13,549
1,volkswagen,passat,2016,regular_unleaded,170.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,38,25,873
2,honda,odyssey,2016,regular_unleaded,248.0,6.0,automatic,front_wheel_drive,4.0,,large,passenger_minivan,28,19,2202
3,chevrolet,cruze,2015,regular_unleaded,138.0,4.0,manual,front_wheel_drive,4.0,,midsize,sedan,36,25,1385
4,volvo,740,1991,regular_unleaded,162.0,4.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,20,17,870
5,suzuki,equator,2012,regular_unleaded,152.0,4.0,manual,rear_wheel_drive,4.0,,compact,extended_cab_pickup,23,19,481
6,ford,flex,2016,premium_unleaded_(recommended),365.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,wagon,21,15,5657
7,acura,legend,1994,regular_unleaded,230.0,6.0,manual,front_wheel_drive,2.0,"luxury,performance",midsize,coupe,24,16,204
8,oldsmobile,eighty-eight_royale,1995,regular_unleaded,205.0,6.0,automatic,front_wheel_drive,4.0,,large,sedan,26,17,26
9,mazda,3,2015,regular_unleaded,155.0,4.0,automatic,front_wheel_drive,4.0,,compact,sedan,41,30,586
10,toyota,yaris,2015,regular_unleaded,106.0,4.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,37,30,2031
11,mazda,b-series_pickup,1998,regular_unleaded,150.0,6.0,manual,four_wheel_drive,2.0,,compact,regular_cab_pickup,20,15,586
12,nissan,truck,1995,regular_unleaded,134.0,4.0,manual,four_wheel_drive,2.0,,compact,regular_cab_pickup,19,16,2009
13,mazda,mazdaspeed_6,2007,premium_unleaded_(required),274.0,4.0,manual,all_wheel_drive,4.0,"factory_tuner,performance",midsize,sedan,23,17,586
14,kia,amanti,2008,regular_unleaded,264.0,6.0,automatic,front_wheel_drive,4.0,,midsize,sedan,24,17,1720
15,volkswagen,gli,2009,premium_unleaded_(recommended),200.0,4.0,manual,front_wheel_drive,4.0,performance,compact,sedan,31,21,873
16,chrysler,pacifica,2008,regular_unleaded,253.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,wagon,22,14,1013
17,nissan,altima,2016,regular_unleaded,270.0,6.0,automatic,front_wheel_drive,4.0,performance,midsize,sedan,32,22,2009
18,acura,rsx,2005,premium_unleaded_(required),210.0,4.0,manual,front_wheel_drive,2.0,"hatchback,factory_tuner,luxury,performance",compact,2dr_hatchback,28,20,204
19,lexus,rc_350,2017,premium_unleaded_(required),306.0,6.0,automatic,rear_wheel_drive,2.0,"luxury,performance",midsize,coupe,28,19,454
20,chevrolet,aveo,2009,regular_unleaded,107.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,27,1385
